,dataset_44528.dat,dataset_44529.dat,sum,pat
1110032F04Rik,0,1,1,0_1
1110034A24Rik,0,1,1,0_1
1110034B05Rik,0,1,1,0_1
1110034G24Rik,0,1,1,0_1
1110036O03Rik,0,1,1,0_1
1110037F02Rik,0,1,1,0_1
1110038D17Rik,0,1,1,0_1
1110038F14Rik,0,1,1,0_1
1110049F12Rik,0,1,1,0_1
1110051M20Rik,0,1,1,0_1
1110054O05Rik,0,1,1,0_1
1110057K04Rik,0,1,1,0_1
1110058L19Rik,0,1,1,0_1
1110059E24Rik,0,1,1,0_1
1110059G10Rik,0,1,1,0_1
1110059M19Rik,0,1,1,0_1
1110065P20Rik,0,1,1,0_1
1110067D22Rik,0,1,1,0_1
1190002A17Rik,0,1,1,0_1
1190002H23Rik,0,1,1,0_1
1190002N15Rik,0,1,1,0_1
1190003J15Rik,0,1,1,0_1
1190005F20Rik,0,1,1,0_1
1190007F08Rik,0,1,1,0_1
1190007I07Rik,0,1,1,0_1
12-Sep,0,1,1,0_1
1200009I06Rik,0,1,1,0_1
1200009O22Rik,0,1,1,0_1
1200011I18Rik,0,1,1,0_1
1200011M11Rik,0,1,1,0_1
1200014J11Rik,0,1,1,0_1
1200016B10Rik,0,1,1,0_1
1300001I01Rik,0,1,1,0_1
1300002K09Rik,0,1,1,0_1
1300010F03Rik,0,1,1,0_1
1300014I06Rik,0,1,1,0_1
1300017J02Rik,0,1,1,0_1
1300018I17Rik,0,1,1,0_1
1300018J18Rik,0,1,1,0_1
14-Sep,0,1,1,0_1
15-Sep,0,1,1,0_1
1500001M20Rik,0,1,1,0_1
1500002O20Rik,0,1,1,0_1
1500003O03Rik,0,1,1,0_1
1500009L16Rik,0,1,1,0_1
1500010J02Rik,0,1,1,0_1
1500011H22Rik,0,1,1,0_1
1500012F01Rik,0,1,1,0_1
1500015O10Rik,0,1,1,0_1
1500031L02Rik,0,1,1,0_1
1500032L24Rik,0,1,1,0_1
1500035H01Rik,0,1,1,0_1
1520402A15Rik,0,1,1,0_1
1600002H07Rik,0,1,1,0_1
1600002K03Rik,0,1,1,0_1
1600012F09Rik,0,1,1,0_1
1600012H06Rik,0,1,1,0_1
1600014C10Rik,0,1,1,0_1
1600014K23Rik,0,1,1,0_1
1600015I10Rik,0,1,1,0_1
1600016N20Rik,0,1,1,0_1
1600027N09Rik,0,1,1,0_1
1600029D21Rik,0,1,1,0_1
1700001C02Rik,0,1,1,0_1
1700001C19Rik,0,1,1,0_1
1700001J03Rik,0,1,1,0_1
1700001K19Rik,0,1,1,0_1
1700001L19Rik,0,1,1,0_1
1700001P01Rik,0,1,1,0_1
1700003E16Rik,0,1,1,0_1
1700003F12Rik,0,1,1,0_1
1700003M02Rik,0,1,1,0_1
1700006A11Rik,0,1,1,0_1
1700006E09Rik,0,1,1,0_1
1700007B14Rik,0,1,1,0_1
1700007E06Rik,0,1,1,0_1
1700007G11Rik,0,1,1,0_1
1700007I08Rik,0,1,1,0_1
1700007K09Rik,0,1,1,0_1
1700007K13Rik,0,1,1,0_1
1700008A04Rik,0,1,1,0_1
1700008F21Rik,0,1,1,0_1
1700008I05Rik,0,1,1,0_1
1700008O03Rik,0,1,1,0_1
1700008P02Rik,0,1,1,0_1
1700008P20Rik,0,1,1,0_1
1700009N14Rik,0,1,1,0_1
1700009P17Rik,0,1,1,0_1
1700010D01Rik,0,1,1,0_1
1700010I14Rik,0,1,1,0_1
1700010M22Rik,0,1,1,0_1
1700011A15Rik,0,1,1,0_1
1700011E24Rik,0,1,1,0_1
1700011F03Rik,0,1,1,0_1
1700011F14Rik,0,1,1,0_1
1700011H14Rik,0,1,1,0_1
1700011H22Rik,0,1,1,0_1
1700011I03Rik,0,1,1,0_1
1700011L22Rik,0,1,1,0_1
1700012A03Rik,0,1,1,0_1
1700012A16Rik,0,1,1,0_1
1700012B07Rik,0,1,1,0_1
1700012B09Rik,0,1,1,0_1
1700012L04Rik,0,1,1,0_1
1700012P22Rik,0,1,1,0_1
1700013B16Rik,0,1,1,0_1
1700013D24Rik,0,1,1,0_1
1700013F07Rik,0,1,1,0_1
1700013G24Rik,0,1,1,0_1
1700014N06Rik,0,1,1,0_1
1700015E13Rik,0,1,1,0_1
1700016C15Rik,0,1,1,0_1
1700016D06Rik,0,1,1,0_1
1700016H13Rik,0,1,1,0_1
1700016M24Rik,0,1,1,0_1
1700017B05Rik,0,1,1,0_1
1700017D01Rik,0,1,1,0_1
1700017N19Rik,0,1,1,0_1
1700018A14Rik,0,1,1,0_1
1700018B08Rik,0,1,1,0_1
1700018C11Rik,0,1,1,0_1
1700018F24Rik,0,1,1,0_1
1700018L24Rik,0,1,1,0_1
1700019A02Rik,0,1,1,0_1
1700019B03Rik,0,1,1,0_1
1700019D03Rik,0,1,1,0_1
1700019E19Rik,0,1,1,0_1
1700019G17Rik,0,1,1,0_1
1700019L03Rik,0,1,1,0_1
1700019M22Rik,0,1,1,0_1
1700019N12Rik,0,1,1,0_1
1700019N19Rik,0,1,1,0_1
1700019O17Rik,0,1,1,0_1
1700020A23Rik,0,1,1,0_1
1700020C07Rik,0,1,1,0_1
1700020C11Rik,0,1,1,0_1
1700020D05Rik,0,1,1,0_1
1700020L24Rik,0,1,1,0_1
1700020O03Rik,0,1,1,0_1
1700021C14Rik,0,1,1,0_1
1700021F05Rik,0,1,1,0_1
1700021F07Rik,0,1,1,0_1
1700021K19Rik,0,1,1,0_1
1700022C21Rik,0,1,1,0_1
1700022I11Rik,0,1,1,0_1
1700022P22Rik,0,1,1,0_1
1700023A16Rik,0,1,1,0_1
1700023D19Rik,0,1,1,0_1
1700023E05Rik,0,1,1,0_1
1700023I07Rik,0,1,1,0_1
1700024G13Rik,0,1,1,0_1
1700024P04Rik,0,1,1,0_1
1700024P16Rik,0,1,1,0_1
1700025E21Rik,0,1,1,0_1
1700025F22Rik,0,1,1,0_1
1700026D08Rik,0,1,1,0_1
1700026J04Rik,0,1,1,0_1
1700026L06Rik,0,1,1,0_1
1700027A23Rik,0,1,1,0_1
1700027D21Rik,0,1,1,0_1
