Sample ID	sample1	sample2	sample3	sample4
4930455F23RIK:NM_029115	295	390	260	310
4930458L03RIK:NM_030047	0	0	0	0
4930470P17RIK:NR_027825	0	0	0	0
4930471M23RIK:NM_175675	504	581	596	614
4930473A06RIK:NM_001081012	321	305	333	395
4930474M22RIK:NR_027986	0	0	0	0
4930474N05RIK:NM_175008	0	0	0	0
4930479M11RIK:NR_027848:NR_027849	0	0	0	0
4930483J18RIK:NR_015603	4	3	0	0
4930486G11RIK:NM_175213	5	7	8	8
4930486L24RIK:NM_178098	35	50	44	24
4930502E18RIK:NM_029142	0	0	0	0
4930503E14RIK:NM_001162954	0	0	0	0
4930503E14RIK:NM_029131	0	0	0	0
4930528F23RIK:NM_029197	0	0	0	0
4930529F22RIK:NM_001009548	0	0	0	0
4930529M08RIK:NM_175280	0	0	0	0
4930534B04RIK:NM_181815	242	250	206	254
4930538K18RIK:NM_029198	11	12	14	13
4930539E08RIK:NM_172450	60	64	69	79
4930542N07RIK:NM_029199	0	0	0	0
4930544G11RIK:NM_001161773	0	0	0	0
4930544O15RIK:NM_029196	9	8	11	12
4930547C10RIK:NM_026652	0	0	0	0
4930547N16RIK:NM_029249	10	12	9	12
4930548H24RIK:NM_026296	0	0	0	1
4930549C01RIK:NM_026300	0	0	0	0
4930550C14RIK:NM_029247	5	7	4	5
4930550L24RIK:NM_023774	0	0	0	0
4930555I21RIK:NM_030189	0	5	2	2
4930562C15RIK:NM_030192	10	17	14	19
4930563D23RIK:NM_029252	0	0	0	0
4930563E22RIK:NM_001163728	6	9	13	18
4930567H17RIK:NM_001033807	0	0	0	0
4930572J05RIK:NM_198607	1153	1775	1206	1828
4930578C19RIK:NM_175228	0	0	0	0
4930578I06RIK:NM_026359	0	0	0	0
4930578N16RIK:NM_001077684	51	55	43	40
4930579C15RIK:NM_027089	2	0	0	0
4930579F01RIK:NM_001163386:NM_001163385	0	0	0	0
4930579G22RIK:NM_026916	9	20	11	20
4930579G24RIK:NM_029482	209	206	159	216
4930579J09RIK:NM_133689	9	11	5	11
4930581F22RIK:NR_029475	91	100	97	114
4930583H14RIK:NM_026358:NR_028121	0	0	1	0
4930583K01RIK:NR_027879	0	0	0	0
4930588N13RIK:NM_029464	1	0	2	0
4930590J08RIK:NM_198668	2	2	0	5
4930595M18RIK:NM_173435	0	0	0	0
4930596D02RIK:NM_001033766	0	0	0	0
4931406B18RIK:NM_028737	0	0	0	0
4931406C07RIK:NM_133732	293	260	243	269
4931406P16RIK:NM_172741	2110	2401	1869	2507
4931407G18RIK:NM_027631	0	0	0	0
4931408A02RIK:NM_027627	0	2	1	4
4931408C20RIK:NM_001033764	0	0	0	0
4931409K22RIK:NR_033188:NM_177676	1	0	0	0
4931414P19RIK:NM_028890	175	201	190	181
4931417E11RIK:NM_025737	0	0	0	0
4931417G12RIK:NM_027633	4	2	2	5
4931428F04RIK:NM_001166394:NM_028888	240	296	273	342
4931428L18RIK:NM_027637:NR_033445	0	0	0	0
4931429I11RIK:NM_001081121	0	0	0	0
4931432M23RIK:NM_027640	0	0	0	0
4931440F15RIK:NM_176829	1	2	2	5
4931440P22RIK:NR_027955	22	24	42	33
4932411E22RIK:NM_172534	0	0	0	0
4932411N23RIK:NM_177705	0	0	0	0
4932412H11RIK:NM_172879	11	17	13	16
4932414J04RIK:NR_028259	0	0	0	0
4932414N04RIK:NM_183113	0	0	0	0
4932415M13RIK:NM_001037718	0	0	0	0
4932418E24RIK:NM_177841	0	0	0	0
4932425I24RIK:NM_001081025	0	0	0	0
4932429P05RIK:NM_001085511	0	0	0	0
4932435O22RIK:NR_027643	0	0	0	0
4932438A13RIK:NM_172679	5711	6183	3741	6367
4932438H23RIK:NM_028905:NM_001163695	0	2	4	2
4932441B19RIK:NM_001083890	0	0	0	0
4932441K18RIK:NM_178935	543	542	308	551
4933400A11RIK:NR_003635	0	0	0	0
4933400C05RIK:NM_177801	1	7	0	0
4933401F05RIK:NM_001081063	0	0	1	0
4933402J07RIK:NM_177901	0	0	0	0
4933402N03RIK:NM_173409	0	0	0	0
4933402P03RIK:NM_175368	0	0	0	0
4933403F05RIK:NM_153794	2775	2891	1856	2515
4933403G14RIK:NM_028908	9	8	8	3
4933404M02RIK:NM_025744	0	0	0	0
4933405L10RIK:NM_027655	3	3	8	8
4933406J08RIK:NM_028914	0	0	0	0
4933406M09RIK:NM_173771	0	0	0	0
4933407C03RIK:NM_001163262:NM_028941	13007	14736	11083	13915
4933407H18RIK:NM_001081101	664	864	634	989
4933407P14RIK:NM_199019:NM_001082535	0	0	0	0
4933408B17RIK:NM_177773	4	9	4	8
4933409G03RIK:NM_177651	0	0	0	0
4933411K20RIK:NM_025747	1167	1171	971	1279
4933412E24RIK:NM_027668	0	0	0	0
4933413G19RIK:NM_027697	0	0	0	0
4933413N12RIK:NM_001162902:NM_001162901	0	0	0	1
4933415F23RIK:NM_025746	0	1	0	0
4933416C03RIK:NM_001161855	0	0	0	0
4933421E11RIK:NM_001039478:NM_028081:NM_001039488	545	520	299	471
4933421I07RIK:NM_027702	0	0	0	0
4933422H20RIK:NM_001033775	1	1	2	2
4933424B01RIK:NM_138757	2019	2146	1910	2358
4933425L06RIK:NM_025751	0	0	0	0
4933425O20RIK:NM_025753	2	1	0	3
4933426M11RIK:NM_178682	5068	5409	4864	5466
4933427D06RIK:NM_175017	1	0	1	0
4933427D14RIK:NM_028963	881	1006	885	950
4933427E11RIK:NR_033197	1	2	1	1
4933429F08RIK:NM_177828	0	2	0	0
4933430I17RIK:NM_177607	7	12	9	10
4933432B09RIK:NM_029407	65	57	49	71
4933432I09RIK:NR_027843:NR_015575	14	21	22	21
4933433C11RIK:NM_028961	1	0	0	3
4933433P14RIK:NM_178613	464	504	489	571
4933434E20RIK:NM_027500:NM_025762	902	944	808	988
4933434I20RIK:NM_026233	0	0	0	0
4933436I01RIK:NM_025763	0	0	0	0
4933437F05RIK:NM_027744	2	5	2	1
4933439C10RIK:NR_015585	110	113	144	201
4933439F18RIK:NM_025757	2208	2488	1856	2520
5930412G12RIK:NR_015517	0	1	1	1
5930416I19RIK:NR_027360:NR_027359	849	980	875	1016
5930434B04RIK:NM_029862	758	869	776	853
6030405A18RIK:NM_177854	0	0	0	0
6030419C18RIK:NM_176921	3	15	9	6
6030422M02RIK:NM_177722	3	0	2	1
6030429G01RIK:NM_001033548	8	14	17	12
6030446N20RIK:NM_178801	216	216	193	255
6030458C11RIK:NM_029998:NM_001166360	1131	1411	1078	1445
6030468B19RIK:NM_029964	5	1	1	1
6030498E09RIK:NM_183126	0	0	0	0
6130401L20RIK:NM_001167748:NM_029412	0	0	0	0
6230409E13RIK:NM_175234	2	12	8	16
6230427J02RIK:NM_026597	121	183	135	169
6330403A02RIK:NM_001081227	24	16	21	25
6330403K07RIK:NM_134022	2	0	2	2
6330406I15RIK:NM_027519	8	96	58	183
6330407J23RIK:NM_026138	0	0	0	1
8030411F24RIK:NM_030135	0	0	0	0
8030462N17RIK:NM_178670	830	1044	699	994
8430406I07RIK:NM_028984	227	284	229	296
8430408G22RIK:NM_145980:NM_001166580	0	0	0	1
8430410A17RIK:NM_173737	566	605	501	554
8430410K20RIK:NM_145609	812	965	623	871
8430419L09RIK:NM_028982	2034	2285	2017	1943
8430426H19RIK:NM_178875:NM_001136496	180	151	79	158
8430427H17RIK:NM_001001986:NM_001134300	768	829	766	710
8430429K09RIK:NR_028317	44	52	62	59
9030025P20RIK:NM_001039552:NM_001034891	142	162	155	182
9030224M15RIK:NM_177793	1	1	0	0
9030409G11RIK:NM_144531:NM_001109685:NM_001109684	70	94	60	106
9030418K01RIK:NM_001081289	4	6	2	7
9030425E11RIK:NM_133733	2	20	22	30
9030607L17RIK:NM_027829	204	283	286	312
9030612E09RIK:NM_172419	2	0	0	0
9030617O03RIK:NM_145448	381	493	485	571
9030619P08RIK:NM_001039720	12	9	9	11
9030624J02RIK:NM_027815	1392	1579	1551	1719
9030625A04RIK:NM_172488	9	20	13	20
9130008F23RIK:NM_027834	0	2	1	0
9130011E15RIK:NM_198296	398	526	442	465
9130011J15RIK:NM_172396	1190	1363	1287	1392
9130017N09RIK:NM_030218	19	15	34	38
9130019O22RIK:NM_030226	165	220	174	208
9130023H24RIK:NM_177001	78	100	80	88
9130221D24RIK:NM_029953	0	0	0	0
9130230L23RIK:NR_027961	0	0	0	0
9130401M01RIK:NM_029418	431	548	449	553
9130404D08RIK:NM_001167939:NM_028993	5797	6691	6045	7155
9130404H23RIK:NM_028998	0	0	0	0
9130409I23RIK:NM_001033819	0	0	0	0
9230104L09RIK:NM_029960	0	0	0	0
9230105E10RIK:NM_175677:NM_001146007	667	636	524	576
9930021J03RIK:NM_172836	601	470	427	535
9930023K05RIK:NM_172641:NM_001164263	0	0	1	1
9930032O22RIK:NM_177162	0	0	0	0
9930104L06RIK:NM_177573	371	427	355	399
9930111J21RIK1:NM_001114679:NM_173434	79	73	76	101
9930111J21RIK1:NM_173434	0	0	0	0
A030009H04RIK:NR_027827	193	221	136	200
A130010J15RIK:NM_001160360:NM_181048:NM_001160359	145	167	115	181
A130022J15RIK:NM_175313	107	148	106	96
A130042E20RIK:NM_172550	139	166	132	176
A1BG:NM_001081067	0	0	0	1
A1CF:NM_001081074	0	0	0	0
A230046K03RIK:NM_001033375	2708	2502	1658	2460
A230050P20RIK:NM_175687	142	167	173	204
A230051G13RIK:NM_173785	410	440	483	520
A230069A22RIK:NM_001033394	0	0	0	0
A230083H22RIK:NM_181348	9	45	46	56
A2BP1:NM_021477:NM_183188	0	0	0	1
A2LD1:NM_145466	303	399	259	351
A2M:NM_175628	0	0	0	0
A330021E22RIK:NM_172447	0	0	1	3
A330049M08RIK:NM_001168498:NM_181047:NM_145555:NM_001168500:NR_033135	6	5	12	9
A3GALT2:NM_001009819	12	3	15	15
A430005L14RIK:NM_175287:NM_001163019	296	390	353	423
A430033K04RIK:NM_183025	152	179	150	135
A430078G23RIK:NM_001033378	1291	1498	1503	2033
A430084P05RIK:NM_001045526	2	1	1	2
A430093F15RIK:NR_027805	4	2	5	12
A430105I19RIK:NM_001001982	439	521	485	502
A430107O13RIK:NM_001081351	0	5	2	11
A430110N23RIK:NM_173008	9	50	38	65
A4GALT:NM_001170954:NM_001004150	1	6	6	15
A4GNT:NM_001077424	0	0	0	0
A530013C23RIK:NR_015500	0	0	0	0
A530016L24RIK:NM_177039	0	1	0	2
A530032D15RIK:NM_213615	0	1	1	0
A530054K11RIK:NM_183146	431	455	274	412
A930005H10RIK:NR_015487:NR_027894	204	210	215	221
A930005I04RIK:NM_207277	14	16	14	29
A930018P22RIK:NM_026634	0	0	0	0
A930038C07RIK:NM_172399	49	73	65	89
A:NM_015770	1	1	2	2
AA408296:NM_145415	1203	1729	993	1801
AA415398:NM_001004178	80	90	65	100
AA467197:NM_001004174:NR_030547	120	85	87	71
AA792892:NM_178894	0	0	0	0
AA881470:NM_172724:NM_181066	1537	2057	1697	2102
AA960436:NM_133954	999	1187	1029	1100
AA986860:NM_177604	5	14	9	14
AA987161:NM_001163246	491	438	211	433
AAAS:NM_153416	867	1047	999	1044
AACS:NM_030210	1402	1657	1450	1968
AADAC:NM_023383	0	0	0	0
AADACL3:NM_001085503	0	0	0	0
AADACL4:NM_198662	0	0	0	0
AADAT:NM_011834	0	0	0	0
AAGAB:NM_025857	2984	3836	3467	3509
AAK1:NM_177762:NM_001040106	15717	17852	14715	19642
AAMP:NM_146110	4277	5108	4267	4857
AANAT:NM_009591:NR_033223	0	0	1	0
AARD:NM_175503	0	0	0	0
AARS2:NM_198608	443	528	456	660
AARSD1:NM_026865	11	19	20	20
AARSD1:NM_144829	198	294	200	288
AASDH:NM_173765	345	419	444	541
AASDHPPT:NM_026276	539	705	408	624
AASS:NM_013930	0	0	0	0
AATF:NM_019816	710	971	537	828
AATK:NM_007377	7	19	10	17
AB041550:NM_001159697	0	2	0	1
AB056442:NM_134256	0	0	0	0
AB124611:NM_206536	440	572	520	582
ABAT:NM_172961:NM_001170978	117	187	113	160
ABCA12:NM_175210	0	0	0	0
ABCA13:NM_178259	1	1	0	0
ABCA14:NM_026458	0	0	0	0
ABCA15:NM_177213	0	0	0	0
ABCA16:NR_024051	0	0	0	0
ABCA17:NM_001031621	0	0	0	1
ABCA1:NM_013454	472	449	277	398
ABCA2:NM_007379	8485	10470	9614	11764
ABCA3:NM_013855:NM_001039581	1053	1346	1424	1461
ABCA4:NM_007378	0	2	0	0
ABCA5:NM_147219	16	14	9	19
ABCA6:NM_147218:NM_001166556:NM_001166557	0	0	0	0
ABCA7:NM_013850	3755	4948	4862	6557
ABCA8A:NM_153145	0	0	0	0
ABCA8B:NM_013851	0	0	1	0
ABCA9:NM_147220	0	0	0	1
ABCB10:NM_019552	646	774	769	819
ABCB11:NM_021022	0	0	0	1
ABCB1A:NM_011076	9	46	13	51
ABCB1B:NM_011075	168	319	71	242
ABCB4:NM_008830	58	80	53	93
ABCB5:NM_029961	0	0	0	0
ABHD3:NM_134130	0	2	1	0
ABHD4:NM_134076	2717	2728	2598	2482
ABHD5:NM_026179	70	82	73	86
ABHD6:NM_025341	245	253	268	280
ABHD8:NM_022419	7732	8684	10050	10196
ABI1:NM_001077192:NM_007380:NM_145994:NM_001077190:NM_001077193	3539	3963	2606	3484
ABI2:NM_198127	960	982	671	788
ABI3:NM_025659:NM_001163464	3682	5176	3922	5282
ABI3BP:NM_178790:NM_001014399:NM_001014424:NM_001014423:NM_001014422	1	3	5	4
ABL1:NM_001112703:NM_009594	8157	9486	8318	10121
ABL2:NM_009595:NM_001136104	3784	4143	3228	4204
ABLIM1:NM_001103178:NM_001103177:NM_178688	26012	32310	22614	30924
ABLIM2:NM_177678	106	119	89	200
ABLIM3:NM_198649:NM_001164491	3	1	2	2
ABO:NM_030718	0	0	0	0
ABP1:NM_029638:NM_001161622:NM_001161621	0	0	0	0
ABPA:NM_009596	0	0	0	0
ABPB:NM_001100464	0	0	0	0
