"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"EYA2:NM_010165",2422.51497163424,-0.0083309182437246,0.116145185512143,1.33838135105057e-05,0.00480354404436361
"CNOT6:NM_212484",2982.39643120769,-0.295188040440072,0.115910721335798,1.57696677687308e-05,0.00553121096988234
"DALRD3:NM_026378",1395.27368192666,0.643469740417224,0.157599227210347,1.64965899627349e-05,0.00565759717544195
"SH3BP1:NM_009164",2434.0879680176,0.462278867430101,0.121182514347872,1.71130356265e-05,0.00574142345269073
"SIPA1L1:NM_001167983:NM_172579",12030.7950689585,-0.353947012867831,0.10855835052086,1.97549182404613e-05,0.00648675857883062
"SH3TC1:NM_194344",289.347550097349,0.546043392245185,0.247473769466344,2.35132972615048e-05,0.0075600149299334
"AL589670.1:NM_008197",4500.91441579778,-0.418668923214597,0.104446243225319,2.43631979652236e-05,0.00767341294280195
"MED14:NM_001048208:NM_012005",2376.32069119213,-0.036894749484015,0.116927024264204,2.59287713736528e-05,0.00784624958058007
"PEX6:NM_145488",5426.76439699808,0.33478344115514,0.103070084829142,2.55623590194253e-05,0.00784624958058007
"2810474O19RIK:NM_026054",2505.25125728386,-0.256625819000167,0.138564451285622,2.87767825117862e-05,0.00854061700969994
"PPP3R1:NM_024459",3462.48176711476,-0.238719531296435,0.128375664384463,3.0600371560351e-05,0.00891048177907352
"ARGLU1:NM_176849",1867.77646188893,0.596741956989278,0.133748502263859,3.24130873924316e-05,0.00919977168182353
"PPP1CB:NM_172707",3230.3893543372,-0.311220715155197,0.151454689339903,3.27860715674395e-05,0.00919977168182353
"AL669964.8:NR_001463:NR_001570",12713.8237948097,0.33093819530796,0.101118555705132,3.79864814007619e-05,0.00984029522691238
"COX17:NM_001017429",860.321796605597,-0.616197272582674,0.155984034134948,3.68525177742411e-05,0.00984029522691238
"ENG:NM_001146348:NM_007932:NM_001146350",2635.02925385827,0.13498656343423,0.117177881764215,3.7045311651541e-05,0.00984029522691238
"MAML2:NM_001013813:NM_173776",1050.02641713737,-0.817337796717645,0.187867093538641,3.82568336431506e-05,0.00984029522691238
"ZMIZ1:NM_183208",12398.3038830637,0.434081308647788,0.114183905701115,3.67168087478709e-05,0.00984029522691238
"ARHGAP9:NM_146011",4526.13222591508,0.319989206869577,0.110636703439372,4.24312397288897e-05,0.0107351036514091
"ACTN1:NM_134156",7233.93812392392,0.138772858762204,0.0964212297619965,4.55203747197549e-05,0.0113309023072577
"GLS:NM_001081081:NM_001113383",5836.2251979222,0.28118663673137,0.227555079544505,4.80920463091735e-05,0.0117810246141186
"BC030336:NM_001164580",1025.77454828769,-0.145162655446674,0.146624827186222,5.33977244392728e-05,0.0128700550776997
"DST:NM_133833:NM_134448",2993.70764146295,0.649317849949743,0.149976649605897,5.42055063856983e-05,0.0128700550776997
"ANP32E:NM_023210",6407.04223199486,-0.194828538448068,0.103714567854903,5.7786937571711e-05,0.013115085405062
"CISD2:NM_025902",1367.74084266877,-0.152610686986371,0.133464393845957,5.7328242334781e-05,0.013115085405062
"HSP90B1:NM_011631",3714.64260585963,-0.17553329707929,0.108207955565001,5.76187169574407e-05,0.013115085405062
"GAR1:NM_026578",504.256493565708,-0.426510947619735,0.238528203364532,6.35444208675391e-05,0.0142127688007062
"ATM:NM_007499",1857.19161990164,0.0773330039845699,0.142889602276736,6.77004646204501e-05,0.0143153626303886
"FAM193B:NM_001162881:NM_145382",5226.62076184462,0.401575195403227,0.104274197759246,6.70583525895051e-05,0.0143153626303886
"HMHA1:NM_001142701:NM_027521",52903.2349552998,0.236138410678708,0.0864068211477969,6.95685995774732e-05,0.0143153626303886
